,RandomForest,XGBoost,LightGBM,DecisionTree
month_mode_1,0.005348748953887268,0.006437664,1013.4913299737045,0.004434173570201918
month_mode_2,0.006757500521400811,0.006742165,983.152535117029,0.0009829257051644292
month_mode_3,0.006842036480351143,0.0065187532,1204.1879758216564,0.0021872209199419175
month_mode_4,0.010285253533850472,0.010083256,1464.577344799298,0.012100621820684979
month_mode_5,0.010316996683156188,0.01457806,1995.8784035358594,0.0
month_mode_6,0.009525276904555256,0.008378316,880.1389479907514,0.02333515261547063
month_mode_7,0.01139449370005334,0.017186778,1601.5832956692136,0.003993486893557748
month_mode_8,0.002910680942736626,0.0096633285,877.4999384665616,0.0027826843333406386
month_mode_9,0.0053208666941413066,0.011352027,732.7443408426197,0.004672505693964841
month_mode_10,0.028242411689477522,0.035172526,2872.6463391537077,0.03498353611884595
month_mode_11,0.011423267116812321,0.011092607,1218.6019259156521,0.0029612493010011684
month_mode_12,0.0017812349561602985,0.0060381843,504.0709371384094,0.006777196943468523
quarter_mode_1,0.01870248974795545,0.008126465,2037.7277503655505,0.01793838551079995
quarter_mode_2,0.022276570858911125,0.006969082,1872.4654676479493,0.009373948185940678
quarter_mode_3,0.01139465169766003,0.006383454,1492.053139285416,0.0018250629745918145
quarter_mode_4,0.012571709941752607,0.00807603,1652.8831264450876,0.0037586532218026893
year_mode_2014,0.01112481961403495,0.009489177,1995.3806411800683,0.005739225748754154
year_mode_2015,0.006709147620251347,0.008886114,1302.192221854539,0.0009903392052147937
year_mode_2016,0.009417339785198276,0.019180655,2148.5584274823823,0.0078272332751487
year_mode_2017,0.01093130688097017,0.010240371,1581.5642763733201,0.02053216923392984
year_mode_2018,0.01826230767378349,0.026495002,3703.640290163474,0.029717716093927128
year_mode_2019,0.014398785339910467,0.005473252,1084.0092973113685,0.021421623621005113
year_mode_2020,0.004105539993085628,0.006103582,641.6825132554812,0.008704217430742494
year_mode_2021,0.05175058403065344,0.08459517,7836.097022967945,0.08582377672205244
year_mode_2022,0.008938165858036825,0.010732194,2022.7659101032323,0.0083580855639548
year_mode_2023,0.002745118538225028,0.011353805,630.1794571130295,0.004862386910371774
day_week_mode_0,0.011934144927243583,0.0102430675,1796.232458760102,0.021705638345571644
day_week_mode_1,0.01578001190634261,0.0088171195,2087.637297254564,0.030633354718947074
day_week_mode_2,0.015286330041353702,0.0074487366,1531.146179647792,0.00406230301322666
day_week_mode_3,0.011573279047053405,0.0069488445,783.1758854300075,0.005967759789375142
day_week_mode_4,0.010228084898877448,0.0068856683,1691.3686765945795,0.017134088783242275
day_week_mode_5,0.0,0.0,0.0,0.0
day_week_mode_6,0.0,0.0,0.0,0.0
customer_country_mode_14,0.0,0.004694603,0.0,0.0
customer_country_mode_AE,0.0,0.008425408,0.0,0.0
customer_country_mode_AR,0.0,0.017303219,0.0,0.0
customer_country_mode_AT,0.00015341518086785098,0.004534376,129.14203054923564,0.0
customer_country_mode_AU,0.0008480731830266982,0.008454557,362.2076216115273,0.0
customer_country_mode_BE,0.0,0.0,0.0,0.0
